index,label
0,1
1,4
2,1
3,3
4,4
5,2
6,0
7,6
8,6
9,8
10,8
11,4
12,0
13,7
14,7
15,1
16,0
17,9
18,4
19,5
20,8
21,4
22,0
23,4
24,6
25,0
26,0
27,5
28,6
29,3
30,1
31,2
32,6
33,6
34,6
35,2
36,3
37,0
38,3
39,1
40,9
41,7
42,2
43,3
44,9
45,5
46,5
47,7
48,1
49,8
50,0
51,9
52,1
53,1
54,9
55,5
56,4
57,7
58,5
59,1
60,3
61,8
62,9
63,0
64,4
65,0
66,0
67,5
68,2
69,3
70,2
71,8
72,6
73,5
74,4
75,2
76,9
77,8
78,3
79,1
80,3
81,7
82,7
83,4
84,6
85,7
86,5
87,4
88,3
89,1
90,1
91,2
92,8
93,9
94,6
95,9
96,6
97,4
98,9
99,0
100,6
101,4
102,2
103,1
104,0
105,2
106,7
107,6
108,3
109,2
110,0
111,8
112,0
113,2
114,1
115,2
116,0
117,2
118,4
119,0
120,0
121,5
122,1
123,8
124,9
125,1
126,4
127,1
128,8
129,5
130,9
131,9
132,1
133,6
134,9
135,6
136,2
137,1
138,0
139,6
140,5
141,2
142,0
143,7
144,7
145,5
146,8
147,5
148,8
149,3
150,9
151,7
152,3
153,3
154,8
155,6
156,0
157,1
158,2
159,5
160,5
161,7
162,6
163,6
164,6
165,1
166,7
167,3
168,8
169,8
170,8
171,7
172,5
173,3
174,0
175,4
176,8
177,7
178,9
179,3
180,6
181,3
182,5
183,3
184,6
185,7
186,5
187,1
188,8
189,3
190,3
191,3
192,8
193,1
194,6
195,5
196,8
197,7
198,7
199,3
200,5
201,5
202,9
203,8
204,3
205,1
206,6
207,0
208,0
209,1
210,1
211,1
212,0
213,2
214,3
215,8
216,9
217,6
218,4
219,5
220,0
221,2
222,6
223,4
224,3
225,7
226,4
227,9
228,4
229,3
230,8
231,9
232,8
233,3
234,1
235,5
236,7
237,2
238,7
239,8
240,9
241,4
242,3
243,1
244,4
245,2
246,7
247,5
248,5
249,0
250,4
251,7
252,0
253,1
254,2
255,3
256,7
257,7
258,1
259,9
260,0
261,0
262,3
263,2
264,9
265,8
266,9
267,1
268,8
269,6
270,4
271,8
272,5
273,7
274,6
275,2
276,3
277,8
278,3
279,1
280,3
281,7
282,5
283,4
284,5
285,8
286,0
287,2
288,0
289,6
290,8
291,6
292,7
293,8
294,9
295,5
296,7
297,7
298,6
299,4
300,4
301,8
302,2
303,7
304,7
305,6
306,1
307,4
308,7
309,5
310,3
311,2
312,8
313,4
314,9
315,7
316,2
317,6
318,0
319,0
320,3
321,5
322,0
323,9
324,0
325,6
326,6
327,7
328,5
329,0
330,1
331,7
332,1
333,6
334,2
335,7
336,8
337,7
338,7
339,5
340,8
341,2
342,0
343,9
344,3
345,7
346,0
347,6
348,5
