index,label
0,3
1,0
2,3
3,3
4,6
5,6
6,0
7,0
8,6
9,6
10,8
11,6
12,0
13,7
14,7
15,3
16,0
17,9
18,6
19,5
20,8
21,6
22,0
23,6
24,0
25,0
26,0
27,5
28,6
29,0
30,0
31,6
32,0
33,6
34,6
35,6
36,3
37,0
38,3
39,0
40,9
41,7
42,6
43,3
44,9
45,5
46,5
47,7
48,0
49,8
50,0
51,9
52,3
53,0
54,9
55,5
56,6
57,7
58,5
59,0
60,0
61,8
62,9
63,0
64,6
65,0
66,0
67,5
68,6
69,0
70,6
71,9
72,6
73,5
74,6
75,6
76,9
77,8
78,3
79,0
80,3
81,7
82,7
83,6
84,6
85,7
86,5
87,6
88,3
89,3
90,0
91,6
92,8
93,9
94,6
95,9
96,6
97,6
98,9
99,0
100,0
101,0
102,6
103,0
104,0
105,6
106,7
107,6
108,0
109,6
110,0
111,8
112,0
113,6
114,3
115,6
116,0
117,6
118,6
119,0
120,0
121,5
122,0
123,8
124,9
125,3
126,3
127,3
128,8
129,5
130,9
131,9
132,0
133,6
134,9
135,6
136,6
137,3
138,0
139,0
140,5
141,6
142,0
143,7
144,7
145,5
146,8
147,5
148,8
149,3
150,9
151,7
152,3
153,0
154,8
155,6
156,0
157,3
158,6
159,5
160,5
161,7
162,6
163,6
164,6
165,0
166,7
167,0
168,8
169,8
170,8
171,7
172,5
173,3
174,0
175,6
176,8
177,7
178,9
179,0
180,6
181,0
182,5
183,3
184,0
185,7
186,5
187,3
188,8
189,6
190,0
191,0
192,8
193,3
194,6
195,5
196,8
197,7
198,7
199,0
200,5
201,5
202,9
203,8
204,0
205,0
206,6
207,0
208,0
209,0
210,0
211,3
212,0
213,6
214,0
215,8
216,9
217,6
218,0
219,5
220,0
221,6
222,6
223,6
224,0
225,7
226,6
227,9
228,6
229,0
230,8
231,9
232,0
233,3
234,3
235,5
236,7
237,6
238,7
239,8
240,9
241,0
242,0
243,3
244,6
245,6
246,7
247,5
248,5
249,0
250,6
251,7
252,0
253,0
254,0
255,0
256,7
257,7
258,0
259,9
260,0
261,0
262,0
263,6
264,9
265,8
266,9
267,0
268,8
269,6
270,6
271,8
272,5
273,7
274,6
275,6
276,0
277,8
278,3
279,0
280,0
281,7
282,5
283,0
284,5
285,8
286,0
287,6
288,0
289,6
290,8
291,6
292,7
293,8
294,9
295,5
296,7
297,7
298,0
299,6
300,6
301,8
302,6
303,7
304,7
305,0
306,3
307,6
308,7
309,5
310,0
311,6
312,8
313,6
314,9
315,7
316,6
317,0
318,0
319,0
320,0
321,5
322,0
323,9
324,0
325,0
326,0
327,7
328,5
329,0
330,3
331,7
332,0
333,0
334,6
335,7
336,8
337,7
338,7
339,5
340,8
341,6
342,0
343,9
344,3
345,7
346,0
347,6
348,7
349,9
350,5
351,0
352,6
353,5
354,6
355,8
356,6
357,0
358,0
359,7
360,6
361,7
362,6
363,7
364,6
365,5
366,0
367,3
368,0
369,6
370,0
371,0
372,7
373,0
374,5
375,3
376,9
377,3
378,8
379,3
380,6
381,7
382,9
383,0
384,9
385,7
386,6
387,7
388,0
389,0
390,8
391,5
392,6
393,0
394,8
395,8
396,0
397,0
398,6
399,6
400,0
401,6
402,9
403,7
404,0
405,7
406,8
407,6
408,6
409,8
410,0
411,6
412,8
413,6
414,9
415,7
416,5
417,8
418,0
419,6
420,7
421,6
422,3
423,0
424,9
425,0
426,8
427,7
428,0
429,0
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,8
439,9
440,8
441,7
442,8
443,7
444,8
445,9
446,3
447,9
448,0
449,0
450,3
451,0
452,8
453,0
454,7
455,6
456,9
457,5
458,0
459,9
460,5
461,3
462,3
463,6
464,9
465,6
466,9
467,6
468,3
469,0
470,6
471,6
472,6
473,6
474,6
475,6
476,9
477,7
478,3
479,0
480,6
481,6
482,0
483,5
484,0
485,0
486,7
487,9
488,9
489,7
490,0
491,6
492,8
493,9
494,8
495,3
496,7
497,6
498,7
499,5
500,6
501,5
502,0
503,0
504,0
505,6
506,0
507,3
508,0
509,9
510,7
511,6
512,5
513,3
514,8
515,0
516,6
517,5
518,6
519,5
520,6
521,7
522,6
523,7
524,0
525,0
526,6
527,3
528,6
529,9
530,0
531,9
532,3
533,0
534,0
535,6
536,6
537,6
538,0
539,9
540,7
541,3
542,0
543,0
544,6
545,0
546,5
547,6
548,0
549,6
550,8
551,0
552,9
553,6
554,9
555,6
556,0
557,8
558,6
559,6
560,6
561,6
562,8
563,5
564,3
565,0
566,9
567,9
568,5
569,0
570,9
571,3
572,0
573,9
574,8
575,0
576,6
577,6
578,0
579,6
580,8
581,3
582,7
583,6
584,0
585,0
586,8
587,0
588,6
589,6
590,0
591,9
592,0
593,6
594,9
595,7
596,5
597,8
598,6
599,0
600,8
601,8
602,7
603,6
604,6
605,0
606,6
607,0
608,7
609,7
610,7
611,0
612,3
613,3
614,0
615,0
616,0
617,6
618,0
619,6
620,6
621,0
622,6
623,5
624,7
625,3
626,6
627,6
628,8
629,0
630,3
631,9
632,6
633,6
634,7
635,8
636,6
637,8
638,6
639,9
640,9
641,0
642,8
643,3
644,5
645,6
646,7
647,9
648,6
649,9
650,0
651,7
652,5
653,3
654,0
655,0
656,9
657,3
658,9
659,8
660,3
661,6
662,7
663,9
664,3
665,6
666,6
667,8
668,0
669,6
670,0
671,5
672,5
673,0
674,3
675,5
676,7
677,0
678,0
679,6
680,6
681,7
682,6
683,5
684,0
685,8
686,5
687,0
688,8
689,9
690,6
691,9
692,5
693,3
694,0
695,0
696,0
697,0
698,0
699,6
700,5
701,7
702,0
703,7
704,6
705,0
706,7
707,0
708,7
709,6
710,5
711,6
712,7
713,0
714,7
715,7
716,7
717,5
718,9
719,8
720,7
721,0
722,6
723,0
724,3
725,9
726,6
727,6
728,3
729,3
730,8
731,6
732,5
733,5
734,8
735,0
736,8
737,0
738,0
739,0
740,3
741,3
742,8
743,3
744,0
745,8
746,0
747,7
748,8
749,6
750,9
751,5
752,3
753,8
754,8
755,8
756,6
757,8
758,7
759,8
760,7
761,9
762,8
763,6
764,6
765,6
766,5
767,5
768,0
769,8
770,3
771,0
772,0
773,0
774,9
775,9
776,6
777,6
778,6
779,6
780,9
781,6
782,9
783,7
784,5
785,7
786,6
787,9
788,6
789,0
790,6
791,8
792,0
793,8
794,7
795,0
796,7
797,0
798,3
799,3
800,0
801,8
802,9
803,9
804,0
805,0
806,6
807,8
808,8
809,6
810,5
811,7
812,0
813,0
814,7
815,6
816,9
817,9
818,9
819,5
820,0
821,0
822,3
823,9
824,0
825,6
826,6
827,0
828,7
829,9
830,7
831,3
832,5
833,0
834,8
835,5
836,0
837,0
838,6
839,0
840,3
841,0
842,9
843,0
844,0
845,6
846,9
847,9
848,9
849,6
850,0
851,6
852,7
853,6
854,7
855,9
856,0
857,5
858,6
859,7
860,0
861,6
862,6
863,0
864,0
865,6
866,6
867,8
868,9
869,9
870,0
871,6
872,8
873,9
874,8
875,0
876,6
877,6
878,6
879,0
880,9
881,3
882,0
883,9
884,9
885,6
886,0
887,6
888,0
889,0
890,6
891,3
892,6
893,0
894,0
895,8
896,5
897,3
898,0
899,8
900,8
901,0
902,0
903,6
904,0
905,6
906,6
907,8
908,0
909,6
910,0
911,5
912,0
913,8
914,0
915,9
916,7
917,6
918,0
919,0
920,0
921,6
922,0
923,0
924,6
925,3
926,0
927,0
928,7
929,9
930,3
931,8
932,6
933,3
934,0
935,6
936,0
937,8
938,5
939,3
940,7
941,0
942,3
943,9
944,0
945,7
946,6
947,0
948,0
949,0
950,6
951,6
952,3
953,6
954,0
955,6
956,5
957,6
958,6
959,8
960,7
961,5
962,8
963,6
964,7
965,0
966,3
967,0
968,9
969,9
970,3
971,8
972,5
973,9
974,0
975,6
976,0
977,6
978,0
979,6
980,5
981,6
982,5
983,6
984,6
985,0
986,5
987,9
988,6
989,0
990,7
991,3
992,0
993,0
994,0
995,9
996,9
997,9
998,8
999,0
